payment_due_id,mortgage_id,customer_id,amount,due_date,status
PD001,M001,C001,1122.61,2024-06-01,Scheduled
PD002,M001,C001,1122.61,2024-07-01,Paid
PD003,M001,C001,1122.61,2024-08-01,Missed
PD004,M001,C001,2245.22,2024-09-01,Scheduled
PD005,M001,C001,1122.61,2024-10-01,Paid
PD006,M001,C001,1122.61,2024-11-01,Paid
PD007,M001,C001,1122.61,2024-12-01,Paid
PD008,M001,C001,1122.61,2025-01-01,Scheduled
PD009,M001,C001,1122.61,2025-02-01,Scheduled
PD010,M001,C001,1122.61,2025-03-01,Scheduled
PD011,M001,C001,1122.61,2025-04-01,Paid
PD012,M001,C001,1122.61,2025-05-01,Paid
PD013,M001,C001,1122.61,2025-06-01,Missed
PD014,M001,C001,2245.22,2025-07-01,Scheduled
PD015,M002,C002,2553.97,2021-02-01,Missed
PD016,M002,C002,5107.94,2021-03-01,Scheduled
PD017,M002,C002,2553.97,2021-04-01,Paid
PD018,M002,C002,2553.97,2021-05-01,Paid
PD019,M002,C002,2553.97,2021-06-01,Paid
PD020,M002,C002,2553.97,2021-07-01,Paid
PD021,M002,C002,2553.97,2021-08-01,Missed
PD022,M002,C002,5107.94,2021-09-01,Scheduled
PD023,M002,C002,2553.97,2021-10-01,Scheduled
PD024,M002,C002,2553.97,2021-11-01,Paid
PD025,M002,C002,2553.97,2021-12-01,Scheduled
PD026,M002,C002,2553.97,2022-01-01,Paid
PD027,M002,C002,2553.97,2022-02-01,Missed
PD028,M002,C002,5107.94,2022-03-01,Scheduled
PD029,M002,C002,2553.97,2022-04-01,Scheduled
PD030,M002,C002,2553.97,2022-05-01,Paid
PD031,M002,C002,2553.97,2022-06-01,Paid
PD032,M002,C002,2553.97,2022-07-01,Scheduled
PD033,M002,C002,2553.97,2022-08-01,Paid
PD034,M002,C002,2553.97,2022-09-01,Paid
PD035,M002,C002,2553.97,2022-10-01,Paid
PD036,M002,C002,2553.97,2022-11-01,Missed
PD037,M002,C002,5107.94,2022-12-01,Scheduled
PD038,M002,C002,2553.97,2023-01-01,Scheduled
PD039,M002,C002,2553.97,2023-02-01,Paid
PD040,M002,C002,2553.97,2023-03-01,Paid
PD041,M002,C002,2553.97,2023-04-01,Missed
PD042,M002,C002,5107.94,2023-05-01,Scheduled
PD043,M002,C002,2553.97,2023-06-01,Paid
PD044,M002,C002,2553.97,2023-07-01,Scheduled
PD045,M002,C002,2553.97,2023-08-01,Paid
PD046,M002,C002,2553.97,2023-09-01,Paid
PD047,M002,C002,2553.97,2023-10-01,Paid
PD048,M002,C002,2553.97,2023-11-01,Paid
PD049,M002,C002,2553.97,2023-12-01,Scheduled
PD050,M002,C002,2553.97,2024-01-01,Paid
PD051,M002,C002,2553.97,2024-02-01,Missed
PD052,M002,C002,5107.94,2024-03-01,Scheduled
PD053,M002,C002,2553.97,2024-04-01,Paid
PD054,M002,C002,2553.97,2024-05-01,Paid
PD055,M002,C002,2553.97,2024-06-01,Paid
PD056,M002,C002,2553.97,2024-07-01,Paid
PD057,M002,C002,2553.97,2024-08-01,Missed
PD058,M002,C002,5107.94,2024-09-01,Scheduled
PD059,M002,C002,2553.97,2024-10-01,Scheduled
PD060,M002,C002,2553.97,2024-11-01,Paid
PD061,M002,C002,2553.97,2024-12-01,Missed
PD062,M002,C002,5107.94,2025-01-01,Scheduled
PD063,M002,C002,2553.97,2025-02-01,Scheduled
PD064,M002,C002,2553.97,2025-03-01,Paid
PD065,M002,C002,2553.97,2025-04-01,Paid
PD066,M002,C002,2553.97,2025-05-01,Paid
PD067,M002,C002,2553.97,2025-06-01,Missed
PD068,M002,C002,5107.94,2025-07-01,Scheduled
PD069,M003,C003,1080.0,2024-12-01,Missed
PD070,M003,C003,2160.0,2025-01-01,Scheduled
PD071,M003,C003,1080.0,2025-02-01,Scheduled
PD072,M003,C003,1080.0,2025-03-01,Paid
PD073,M003,C003,1080.0,2025-04-01,Paid
PD074,M003,C003,1080.0,2025-05-01,Scheduled
PD075,M003,C003,1080.0,2025-06-01,Scheduled
PD076,M004,C004,1946.1,2024-08-01,Missed
PD077,M004,C004,3892.2,2024-09-01,Scheduled
PD078,M004,C004,1946.1,2024-10-01,Paid
PD079,M004,C004,1946.1,2024-11-01,Paid
PD080,M004,C004,1946.1,2024-12-01,Scheduled
PD081,M004,C004,1946.1,2025-01-01,Paid
PD082,M004,C004,1946.1,2025-02-01,Scheduled
PD083,M004,C004,1946.1,2025-03-01,Scheduled
PD084,M004,C004,1946.1,2025-04-01,Paid
PD085,M004,C004,1946.1,2025-05-01,Paid
PD086,M004,C004,1946.1,2025-06-01,Scheduled
PD087,M005,C005,1755.33,2024-10-01,Missed
PD088,M005,C005,3510.66,2024-11-01,Scheduled
PD089,M005,C005,1755.33,2024-12-01,Paid
PD090,M005,C005,1755.33,2025-01-01,Paid
PD091,M005,C005,1755.33,2025-02-01,Paid
PD092,M005,C005,1755.33,2025-03-01,Scheduled
PD093,M005,C005,1755.33,2025-04-01,Missed
PD094,M005,C005,3510.66,2025-05-01,Scheduled
PD095,M005,C005,1755.33,2025-06-01,Missed
PD096,M005,C005,3510.66,2025-07-01,Scheduled
PD097,M006,C001,300.0,2023-04-01,Paid
PD098,M006,C001,300.0,2023-05-01,Paid
PD099,M006,C001,300.0,2023-06-01,Paid
PD100,M006,C001,300.0,2023-07-01,Paid
PD101,M006,C001,300.0,2023-08-01,Paid
PD102,M006,C001,300.0,2023-09-01,Scheduled
PD103,M006,C001,300.0,2023-10-01,Paid
PD104,M006,C001,300.0,2023-11-01,Paid
PD105,M006,C001,300.0,2023-12-01,Scheduled
PD106,M006,C001,300.0,2024-01-01,Missed
PD107,M006,C001,600.0,2024-02-01,Scheduled
PD108,M006,C001,300.0,2024-03-01,Missed
PD109,M006,C001,600.0,2024-04-01,Scheduled
PD110,M006,C001,300.0,2024-05-01,Paid
PD111,M006,C001,300.0,2024-06-01,Missed
PD112,M006,C001,600.0,2024-07-01,Scheduled
PD113,M006,C001,300.0,2024-08-01,Paid
PD114,M006,C001,300.0,2024-09-01,Paid
PD115,M006,C001,300.0,2024-10-01,Missed
PD116,M006,C001,600.0,2024-11-01,Scheduled
PD117,M006,C001,300.0,2024-12-01,Paid
PD118,M006,C001,300.0,2025-01-01,Scheduled
PD119,M006,C001,300.0,2025-02-01,Missed
PD120,M006,C001,600.0,2025-03-01,Scheduled
PD121,M006,C001,300.0,2025-04-01,Paid
PD122,M006,C001,300.0,2025-05-01,Missed
PD123,M006,C001,600.0,2025-06-01,Scheduled
